harga,lokasi,luas_bangunan,luas_tanah,sertifikat,furnish,kamar_tidur,kamar_mandi,listrik,kamar_tidur_art,kamar_mandi_art
1300000,  Balikpapan Selatan,110.0,157.0,SHM,Fully-furnished,3,2,2200.0,0,0
6000000,  Balikpapan Selatan,563.0,713.0,SHM,Non-furnished,18,18,3500.0,0,0
1000000,  Balikpapan Timur,115.0,225.0,SHM,Non-furnished,3,2,1300.0,0,0
3590000,  Balikpapan Utara,230.0,298.0,SHM,Non-furnished,5,4,3500.0,1,0
1500000,  Balikpapan Utara,274.0,137.0,SHM,Non-furnished,5,3,3500.0,0,0
1770000,  Balikpapan Selatan,135.0,150.0,SHM,Non-furnished,3,2,3500.0,1,1
1250000,  Balikpapan Selatan,81.0,125.0,SHM,Non-furnished,4,2,2200.0,0,0
1450000,  Balikpapan Selatan,105.0,153.0,HGB,Non-furnished,3,3,1300.0,1,1
3500000,  Balikpapan Baru,250.0,240.0,SHM,Non-furnished,5,4,2200.0,0,0
1300000,  Balikpapan Selatan,70.0,120.0,SHM,Non-furnished,3,2,3500.0,1,1
2200000,  Lamaru,400.0,700.0,SHM,Non-furnished,4,2,5500.0,0,0
1350000,  Balikpapan Selatan,140.0,150.0,SHM,Non-furnished,4,4,1300.0,0,0
4099999,  Telaga Sari,357.0,444.0,SHM,Non-furnished,8,4,6600.0,0,0
1380000,  Balikpapan Selatan,200.0,105.0,SHM,Non-furnished,3,3,2200.0,0,0
800000,  Balikpapan Utara,70.0,72.0,SHM,Non-furnished,3,1,4400.0,0,0
750000,  Balikpapan Utara,110.0,150.0,SHM,Non-furnished,3,2,1300.0,0,0
12000000,  Balikpapan Selatan,1134.0,900.0,SHM,Non-furnished,5,5,3500.0,0,0
7000000,  Balikpapan Tengah,800.0,960.0,SHM,Non-furnished,6,5,1300.0,0,0
14000000,  Balikpapan Tengah,500.0,1240.0,SHM,Non-furnished,6,6,6600.0,0,0
1240000,  Balikpapan Utara,145.0,120.0,SHM,Semi-furnished,4,2,3500.0,0,0
2800000,  Balikpapan Baru,300.0,220.0,HGB,Non-furnished,4,2,2200.0,0,0
3900000,  Sepinggan,500.0,450.0,SHM,Non-furnished,7,4,4400.0,0,0
1500000,  Manggar,300.0,400.0,SHM,Non-furnished,3,2,1300.0,0,0
2600000,  Balikpapan Baru,298.0,200.0,SHM,Semi-furnished,5,4,5500.0,2,1
880000,  Balikpapan Selatan,100.0,108.0,SHM,Semi-furnished,3,1,2200.0,0,0
1600000,  Balikpapan Selatan,207.0,144.0,SHM,Semi-furnished,5,3,4400.0,0,0
1400000,  Balikpapan Selatan,112.0,157.0,SHM,Semi-furnished,3,2,4400.0,0,0
700000,  Balikpapan Utara,200.0,243.0,SHM,Non-furnished,4,3,2200.0,0,0
1600000,  Balikpapan Selatan,150.0,111.0,SHM,Fully-furnished,5,3,2200.0,0,0
650000,  Balikpapan Selatan,96.0,120.0,HGB,Non-furnished,6,6,1300.0,0,0
1700000,  Balikpapan Utara,88.0,98.0,HGB,Non-furnished,3,3,1300.0,0,0
680000,  Balikpapan Tengah,78.0,108.0,SHM,Semi-furnished,2,1,1300.0,0,0
1400000,  Balikpapan Barat,230.0,350.0,SHM,Non-furnished,7,3,3500.0,0,0
1800000,  Balikpapan Selatan,100.0,248.0,SHM,Non-furnished,3,2,2200.0,1,1
1500000,  Balikpapan Selatan,200.0,165.0,SHM,Non-furnished,4,3,5500.0,0,0
2200000,  Balikpapan Selatan,350.0,180.0,SHM,Semi-furnished,4,4,3500.0,0,0
4400000,  Balikpapan Baru,250.0,342.0,SHM,Fully-furnished,4,5,5500.0,1,0
510000,  Balikpapan Selatan,42.0,87.0,SHM,Non-furnished,2,1,1300.0,0,0
1350000,  Balikpapan Selatan,100.0,120.0,SHM,Non-furnished,4,3,3500.0,0,0
1900000,  Karang Jati,263.0,283.0,SHM,Fully-furnished,4,4,2200.0,0,0
726000,  Balikpapan Utara,90.0,157.0,SHM,Non-furnished,2,2,4400.0,0,0
