Price,Lokasi,Tipe,Group,Luas Bangunan,Luas Tanah,Sertifikat,Furnish
1475000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,105.0,153.0,PPJB,Non-furnished
1750000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,243.0,250.0,SHM,
1850000000," Balikpapan, Gunung Bahagia",Rumah,Secondary,145.0,168.0,SHM,Fully-furnished
400000000," Balikpapan, Muara Rapak",Rumah,Secondary,80.0,100.0,SHM,Non-furnished
2300000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,200.0,126.0,SHM,Non-furnished
2760000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,289.0,200.0,SHM,
2500000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,224.0,500.0,SHM,Non-furnished
2950000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,384.0,240.0,SHM,Non-furnished
1000000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,105.0,165.0,SHM,Non-furnished
1240000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,145.0,120.0,SHM,Fully-furnished
1500000000," Balikpapan, Balikpapan Timur",Rumah,Secondary,200.0,299.0,SHM,Non-furnished
15000000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,450.0,1700.0,SHM,Non-furnished
609480000," Balikpapan, Balikpapan Timur",Rumah,Primary,45.0,120.0,HGB,Non-furnished
600000000," Balikpapan, Balikpapan Selatan",Rumah,,100.0,125.0,SHM,
780000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,105.0,150.0,SHM,Semi-furnished
3850000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,240.0,260.0,SHM,
1700000000," Balikpapan, Balikpapan Tengah",Rumah,,150.0,200.0,SHM,
1300000000," Balikpapan, Balikpapan Selatan",Rumah,,250.0,150.0,SHM,
750000000," Balikpapan, Balikpapan Selatan",Rumah,,120.0,120.0,SHM,
750000000," Balikpapan, Balikpapan Selatan",Rumah,Primary,100.0,150.0,SHM,
380000000," Balikpapan, Balikpapan Tengah",Rumah,Primary,102.0,102.0,SHM,
1300000000," Balikpapan, Gunung Bahagia",Rumah,Secondary,316.0,241.0,SHM,
580000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,130.0,130.0,SHM,Non-furnished
1750000000," Balikpapan, Sepinggan",Rumah,Secondary,140.0,98.0,SHM,Non-furnished
1400000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,95.0,173.0,SHM,Semi-furnished
395000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,54.0,116.0,SHM,
5000000000," Balikpapan, Balikpapan Timur",Rumah,Secondary,400.0,235.0,SHM,
2100000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,225.0,165.0,SHM,
1250000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,144.0,600.0,HGB,Non-furnished
2500000000," Balikpapan, Balikpapan Selatan",Rumah,,150.0,221.0,SHM,
2700000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,160.0,169.0,SHM,
1600000000," Balikpapan, Batu Ampar",Rumah,Secondary,100.0,179.0,SHM,Semi-furnished
1200000000," Balikpapan, Balikpapan Tengah",Rumah,Primary,65.0,90.0,SHM,Non-furnished
1320000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,196.0,98.0,SHM,Non-furnished
1150000000," Balikpapan, Balikpapan Timur",Rumah,Secondary,190.0,136.0,SHM,Semi-furnished
1300000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,110.0,157.0,SHM,Fully-furnished
6000000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,563.0,713.0,SHM,Non-furnished
1000000000," Balikpapan, Balikpapan Timur",Rumah,Secondary,115.0,225.0,SHM,
3590000000," Balikpapan, Balikpapan Utara",Rumah,,230.0,298.0,SHM,
1770000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,135.0,150.0,SHM,
1250000000," Balikpapan, Balikpapan Selatan",Rumah,,81.0,125.0,SHM,
1450000000," Balikpapan, Balikpapan Selatan",Rumah,,105.0,153.0,HGB,
3500000000," Balikpapan, Balikpapan Baru",Rumah,,250.0,240.0,SHM,
1300000000," Balikpapan, Balikpapan Selatan",Rumah,,70.0,120.0,SHM,
2200000000," Balikpapan, Lamaru",Rumah,,400.0,700.0,SHM,
1350000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,140.0,150.0,SHM,Non-furnished
4099999999," Balikpapan, Telaga Sari",Rumah,Secondary,357.0,444.0,SHM,Non-furnished
1380000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,200.0,105.0,SHM,Non-furnished
800000000," Balikpapan, Balikpapan Utara",Rumah,,70.0,72.0,SHM,
750000000," Balikpapan, Balikpapan Utara",Rumah,,110.0,150.0,SHM,
12000000000," Balikpapan, Balikpapan Selatan",Rumah,,1134.0,900.0,SHM,
7000000000," Balikpapan, Balikpapan Tengah",Rumah,,800.0,960.0,SHM,
1180000000," Balikpapan, Balikpapan Utara",Rumah,,47.0,78.0,HGB,
14000000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,500.0,1240.0,SHM,Non-furnished
1240000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,145.0,120.0,SHM,Semi-furnished
2800000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,300.0,220.0,HGB,Non-furnished
3900000000," Balikpapan, Sepinggan",Rumah,,500.0,450.0,SHM,
1500000000," Balikpapan, Manggar",Rumah,Secondary,300.0,400.0,SHM,
2600000000," Balikpapan, Balikpapan Baru",Rumah,Secondary,298.0,200.0,SHM,Semi-furnished
880000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,100.0,108.0,SHM,Semi-furnished
1600000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,207.0,144.0,SHM,Semi-furnished
1400000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,112.0,157.0,SHM,Semi-furnished
700000000," Balikpapan, Balikpapan Utara",Rumah,Secondary,200.0,243.0,SHM,Non-furnished
1600000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,150.0,111.0,SHM,Fully-furnished
548000000," Balikpapan, Balikpapan Selatan",Rumah,Primary,45.0,165.0,SHM,Non-furnished
650000000," Balikpapan, Balikpapan Selatan",Rumah,Secondary,96.0,120.0,HGB,Non-furnished
1700000000," Balikpapan, Balikpapan Utara",Rumah,,88.0,98.0,HGB,
680000000," Balikpapan, Balikpapan Tengah",Rumah,Secondary,78.0,108.0,SHM,Semi-furnished
